fortune_company_id,fortune_rank,fortune_revenues,fortune_revchange,fortune_profits,fortune_prftchange,fortune_assets,fortune_mktval,fortune_rankchange1000,fortune_employees,fortune_rankchange,name,fortune_sector,fortune_industry,fortune_hqcity,fortune_hqstate,fortune_rankgain,fortune_rankdrop,fortune_newcomer,fortune_profitable,fortune_ceofounder,fortune_ceowoman,fortune_jobgrowth,fortune1000-y-n,best-company-y-n,permalink
206,430,7940,,153,,7271,8193,,97500,,gxo logistics,transportation,transportation and logistics,greenwich,ct,no,no,yes,yes,no,no,no,no,no,https://fortune.com/company/gxo-logistics/fortune500/
207,480,6784.6,,646.4,,4344,4330.4,,24000,,victoria's secret,retailing,specialty retailers: apparel,reynoldsburg,oh,no,no,yes,yes,no,no,no,no,no,https://fortune.com/company/victorias-secret/fortune500/
208,557,5587,,405.6,,5046.4,8605.2,,290000,,concentrix,technology,information technology services,fremont,ca,,,no,yes,no,no,no,no,no,https://fortune.com/company/concentrix/fortune500/
209,805,3184.3,134.5,-370.9,,2366.8,364.7,,1807,,vroom,retailing,"automotive retailing, services",new york,ny,,,no,no,no,no,yes,no,no,https://fortune.com/company/vroom/fortune500/
210,999,2111,-11.2,220,,6612,5601.9,-130,4100,,ashland,chemicals,chemicals,wilmington,de,,,no,yes,no,no,no,no,no,https://fortune.com/company/ashland-global-holdings/fortune500/
211,997,2122.2,42.5,118.7,101.1,1076.7,830,,4800,,1-800-flowers.com,retailing,internet services and retailing,jericho,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/1-800-flowers-com/fortune500/
212,1000,2107.2,45,-70,,2541.3,21302.8,,7461,,docusign,technology,computer software,san francisco,ca,,,no,no,no,no,yes,no,no,https://fortune.com/company/docusign/fortune500/
213,994,2125.5,16.5,-165.1,,5905.8,1435.4,,1898,,genesis energy,energy,pipelines,houston,tx,,,no,no,no,no,no,no,no,https://fortune.com/company/genesis-energy/fortune500/
214,995,2124.1,,305.9,9.8,2501.4,4925.6,-63,6600,,bwx technologies,aerospace & defense,aerospace & defense,lynchburg,va,,,no,yes,no,no,no,no,no,https://fortune.com/company/bwx-technologies/fortune500/
215,993,2139.3,2.9,268.6,-15.9,1342.7,7592.5,-49,14137,,chemed,health care,health care: pharmacy and other services,cincinnati,oh,,,no,yes,no,no,no,no,no,https://fortune.com/company/chemed/fortune500/
216,991,2147,14.6,-3.2,,3053.9,969.7,,12000,,harsco,business services,waste management,camp hill,pa,,,no,no,no,no,yes,no,no,https://fortune.com/company/harsco/fortune500/
217,992,2140.3,0.6,122,133.6,2078.8,478.8,-61,1052,,beazer homes usa,engineering & construction,homebuilders,atlanta,ga,,,no,yes,no,no,no,no,no,https://fortune.com/company/beazer-homes-usa/fortune500/
218,988,2157.9,12.7,335.8,,3091.3,8873.5,-8,2667,,dropbox,technology,computer software,san francisco,ca,,,no,yes,yes,no,no,no,no,https://fortune.com/company/dropbox/fortune500/
219,985,2173.6,17.7,61.6,,1033.2,995.6,,6400,,trueblue,business services,temporary help,tacoma,wa,,,no,yes,no,no,yes,no,no,https://fortune.com/company/trueblue/fortune500/
220,986,2171.1,17.3,-6.5,,2711.9,402.6,,11450,,party city holdco,retailing,specialty retailers: other,elmsford,ny,,,no,no,no,no,no,no,no,https://fortune.com/company/party-city-holdco/fortune500/
221,989,2156.6,10.4,117.9,-39.2,5722.3,4405.4,-17,1251,,new jersey resources,energy,utilities: gas and electric,wall,nj,,,no,yes,no,no,yes,no,no,https://fortune.com/company/new-jersey-resources/fortune500/
222,981,2188,5.6,143.7,4.4,2433.6,3169.4,-36,5000,,aerojet rocketdyne holdings,aerospace & defense,aerospace & defense,el segundo,ca,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/aerojet-rocketdyne-holdings/fortune500/
223,982,2184.9,17.7,153.7,10.5,919.5,1123.7,16,5388,,sleep number,retailing,specialty retailers: other,minneapolis,mn,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/sleep-number/fortune500/
